id_metodo_uf,id_metodo,nome_metodo,id_localidade,uf,nome_uf,regiao,fator_regional_custo,fator_custo_base,fator_custo_regional_calc,fator_regional_prazo,fator_prazo_base,fator_prazo_regional_calc,percentual_material,percentual_mao_obra,percentual_admin_equip,fonte_primaria,status_validacao,nota_importante,data_atualizacao_cub
MET_01_TO_027,MET_01,Alvenaria Convencional,BR_TO,TO,Tocantins,Norte,0.86,1200.0,1032.0,0.86,1.0,0.86,0.6,0.35,0.05,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_02_AC_028,MET_02,Alvenaria Estrutural,BR_AC,AC,Acre,Norte,0.829,1150.0,953.35,0.829,0.95,0.788,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_AL_029,MET_02,Alvenaria Estrutural,BR_AL,AL,Alagoas,Nordeste,0.905,1150.0,1040.75,0.905,0.95,0.86,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_AP_030,MET_02,Alvenaria Estrutural,BR_AP,AP,Amapá,Norte,0.859,1150.0,987.85,0.859,0.95,0.816,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_AM_031,MET_02,Alvenaria Estrutural,BR_AM,AM,Amazonas,Norte,0.842,1150.0,968.3,0.842,0.95,0.8,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_BA_032,MET_02,Alvenaria Estrutural,BR_BA,BA,Bahia,Nordeste,0.896,1150.0,1030.4,0.896,0.95,0.851,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_CE_033,MET_02,Alvenaria Estrutural,BR_CE,CE,Ceará,Nordeste,0.9,1150.0,1035.0,0.9,0.95,0.855,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_DF_034,MET_02,Alvenaria Estrutural,BR_DF,DF,Distrito Federal,Centro-Oeste,0.984,1150.0,1131.6,0.984,0.95,0.935,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_ES_035,MET_02,Alvenaria Estrutural,BR_ES,ES,Espírito Santo,Sudeste,0.949,1150.0,1091.35,0.949,0.95,0.902,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_GO_036,MET_02,Alvenaria Estrutural,BR_GO,GO,Goiás,Centro-Oeste,0.958,1150.0,1101.7,0.958,0.95,0.91,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_MA_037,MET_02,Alvenaria Estrutural,BR_MA,MA,Maranhão,Nordeste,0.898,1150.0,1032.7,0.898,0.95,0.853,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_MT_038,MET_02,Alvenaria Estrutural,BR_MT,MT,Mato Grosso,Centro-Oeste,0.963,1150.0,1107.45,0.963,0.95,0.915,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_MS_039,MET_02,Alvenaria Estrutural,BR_MS,MS,Mato Grosso do Sul,Centro-Oeste,0.964,1150.0,1108.6,0.964,0.95,0.916,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_MG_040,MET_02,Alvenaria Estrutural,BR_MG,MG,Minas Gerais,Sudeste,0.982,1150.0,1129.3,0.982,0.95,0.933,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_PA_041,MET_02,Alvenaria Estrutural,BR_PA,PA,Pará,Norte,0.841,1150.0,967.15,0.841,0.95,0.799,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_PB_042,MET_02,Alvenaria Estrutural,BR_PB,PB,Paraíba,Nordeste,0.877,1150.0,1008.55,0.877,0.95,0.833,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_PR_043,MET_02,Alvenaria Estrutural,BR_PR,PR,Paraná,Sul,1.02,1150.0,1173.0,1.02,0.95,0.969,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_PE_044,MET_02,Alvenaria Estrutural,BR_PE,PE,Pernambuco,Nordeste,0.888,1150.0,1021.2,0.888,0.95,0.844,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_PI_045,MET_02,Alvenaria Estrutural,BR_PI,PI,Piauí,Nordeste,0.872,1150.0,1002.8,0.872,0.95,0.828,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_RJ_046,MET_02,Alvenaria Estrutural,BR_RJ,RJ,Rio de Janeiro,Sudeste,0.965,1150.0,1109.75,0.965,0.95,0.917,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_RN_047,MET_02,Alvenaria Estrutural,BR_RN,RN,Rio Grande do Norte,Nordeste,0.888,1150.0,1021.2,0.888,0.95,0.844,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_RS_048,MET_02,Alvenaria Estrutural,BR_RS,RS,Rio Grande do Sul,Sul,1.05,1150.0,1207.5,1.05,0.95,0.997,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_RO_049,MET_02,Alvenaria Estrutural,BR_RO,RO,Rondônia,Norte,0.865,1150.0,994.75,0.865,0.95,0.822,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_RR_050,MET_02,Alvenaria Estrutural,BR_RR,RR,Roraima,Norte,0.82,1150.0,943.0,0.82,0.95,0.779,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_SC_051,MET_02,Alvenaria Estrutural,BR_SC,SC,Santa Catarina,Sul,1.045,1150.0,1201.75,1.045,0.95,0.993,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_SP_052,MET_02,Alvenaria Estrutural,BR_SP,SP,São Paulo,Sudeste,1.0,1150.0,1150.0,1.0,0.95,0.95,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_SE_053,MET_02,Alvenaria Estrutural,BR_SE,SE,Sergipe,Nordeste,0.88,1150.0,1012.0,0.88,0.95,0.836,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_02_TO_054,MET_02,Alvenaria Estrutural,BR_TO,TO,Tocantins,Norte,0.86,1150.0,989.0,0.86,0.95,0.817,0.65,0.3,0.05,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_AC_055,MET_03,Concreto Armado,BR_AC,AC,Acre,Norte,0.829,1400.0,1160.6,0.829,1.1,0.912,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_03_AL_056,MET_03,Concreto Armado,BR_AL,AL,Alagoas,Nordeste,0.905,1400.0,1267.0,0.905,1.1,0.996,0.5,0.35,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_AP_057,MET_03,Concreto Armado,BR_AP,AP,Amapá,Norte,0.859,1400.0,1202.6,0.859,1.1,0.945,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_03_AM_058,MET_03,Concreto Armado,BR_AM,AM,Amazonas,Norte,0.842,1400.0,1178.8,0.842,1.1,0.926,0.5,0.35,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_BA_059,MET_03,Concreto Armado,BR_BA,BA,Bahia,Nordeste,0.896,1400.0,1254.4,0.896,1.1,0.986,0.5,0.35,0.15,CBIC/SINAPI,PARCIALMENTE_VALIDADO,Expansão regional implementada,2025-11-14
MET_03_CE_060,MET_03,Concreto Armado,BR_CE,CE,Ceará,Nordeste,0.9,1400.0,1260.0,0.9,1.1,0.99,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_03_DF_061,MET_03,Concreto Armado,BR_DF,DF,Distrito Federal,Centro-Oeste,0.984,1400.0,1377.6,0.984,1.1,1.082,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_03_ES_062,MET_03,Concreto Armado,BR_ES,ES,Espírito Santo,Sudeste,0.949,1400.0,1328.6,0.949,1.1,1.044,0.5,0.35,0.15,CBIC/SINAPI,PARCIALMENTE_VALIDADO,Expansão regional implementada,2025-11-14
MET_03_GO_063,MET_03,Concreto Armado,BR_GO,GO,Goiás,Centro-Oeste,0.958,1400.0,1341.2,0.958,1.1,1.054,0.5,0.35,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_MA_064,MET_03,Concreto Armado,BR_MA,MA,Maranhão,Nordeste,0.898,1400.0,1257.2,0.898,1.1,0.988,0.5,0.35,0.15,CBIC/SINAPI,PARCIALMENTE_VALIDADO,Expansão regional implementada,2025-11-14
MET_03_MT_065,MET_03,Concreto Armado,BR_MT,MT,Mato Grosso,Centro-Oeste,0.963,1400.0,1348.2,0.963,1.1,1.059,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_03_MS_066,MET_03,Concreto Armado,BR_MS,MS,Mato Grosso do Sul,Centro-Oeste,0.964,1400.0,1349.6,0.964,1.1,1.06,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_03_MG_067,MET_03,Concreto Armado,BR_MG,MG,Minas Gerais,Sudeste,0.982,1400.0,1374.8,0.982,1.1,1.08,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_03_PA_068,MET_03,Concreto Armado,BR_PA,PA,Pará,Norte,0.841,1400.0,1177.4,0.841,1.1,0.925,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_03_PB_069,MET_03,Concreto Armado,BR_PB,PB,Paraíba,Nordeste,0.877,1400.0,1227.8,0.877,1.1,0.965,0.5,0.35,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_PR_070,MET_03,Concreto Armado,BR_PR,PR,Paraná,Sul,1.02,1400.0,1428.0,1.02,1.1,1.122,0.5,0.35,0.15,CBIC/SINAPI,PARCIALMENTE_VALIDADO,Expansão regional implementada,2025-11-14
MET_03_PE_071,MET_03,Concreto Armado,BR_PE,PE,Pernambuco,Nordeste,0.888,1400.0,1243.2,0.888,1.1,0.977,0.5,0.35,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_PI_072,MET_03,Concreto Armado,BR_PI,PI,Piauí,Nordeste,0.872,1400.0,1220.8,0.872,1.1,0.959,0.5,0.35,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_RJ_073,MET_03,Concreto Armado,BR_RJ,RJ,Rio de Janeiro,Sudeste,0.965,1400.0,1351.0,0.965,1.1,1.062,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_03_RN_074,MET_03,Concreto Armado,BR_RN,RN,Rio Grande do Norte,Nordeste,0.888,1400.0,1243.2,0.888,1.1,0.977,0.5,0.35,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_RS_075,MET_03,Concreto Armado,BR_RS,RS,Rio Grande do Sul,Sul,1.05,1400.0,1470.0,1.05,1.1,1.155,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_03_RO_076,MET_03,Concreto Armado,BR_RO,RO,Rondônia,Norte,0.865,1400.0,1211.0,0.865,1.1,0.952,0.5,0.35,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_RR_077,MET_03,Concreto Armado,BR_RR,RR,Roraima,Norte,0.82,1400.0,1148.0,0.82,1.1,0.902,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_03_SC_078,MET_03,Concreto Armado,BR_SC,SC,Santa Catarina,Sul,1.045,1400.0,1463.0,1.045,1.1,1.149,0.5,0.35,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_SP_079,MET_03,Concreto Armado,BR_SP,SP,São Paulo,Sudeste,1.0,1400.0,1400.0,1.0,1.1,1.1,0.5,0.35,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_SE_080,MET_03,Concreto Armado,BR_SE,SE,Sergipe,Nordeste,0.88,1400.0,1232.0,0.88,1.1,0.968,0.5,0.35,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_03_TO_081,MET_03,Concreto Armado,BR_TO,TO,Tocantins,Norte,0.86,1400.0,1204.0,0.86,1.1,0.946,0.5,0.35,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_04_AC_082,MET_04,Concreto Protendido,BR_AC,AC,Acre,Norte,0.829,1600.0,1326.4,0.829,1.2,0.995,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_AL_083,MET_04,Concreto Protendido,BR_AL,AL,Alagoas,Nordeste,0.905,1600.0,1448.0,0.905,1.2,1.086,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_AP_084,MET_04,Concreto Protendido,BR_AP,AP,Amapá,Norte,0.859,1600.0,1374.4,0.859,1.2,1.031,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_AM_085,MET_04,Concreto Protendido,BR_AM,AM,Amazonas,Norte,0.842,1600.0,1347.2,0.842,1.2,1.01,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_BA_086,MET_04,Concreto Protendido,BR_BA,BA,Bahia,Nordeste,0.896,1600.0,1433.6,0.896,1.2,1.075,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_CE_087,MET_04,Concreto Protendido,BR_CE,CE,Ceará,Nordeste,0.9,1600.0,1440.0,0.9,1.2,1.08,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_DF_088,MET_04,Concreto Protendido,BR_DF,DF,Distrito Federal,Centro-Oeste,0.984,1600.0,1574.4,0.984,1.2,1.181,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_ES_089,MET_04,Concreto Protendido,BR_ES,ES,Espírito Santo,Sudeste,0.949,1600.0,1518.4,0.949,1.2,1.139,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_GO_090,MET_04,Concreto Protendido,BR_GO,GO,Goiás,Centro-Oeste,0.958,1600.0,1532.8,0.958,1.2,1.15,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_MA_091,MET_04,Concreto Protendido,BR_MA,MA,Maranhão,Nordeste,0.898,1600.0,1436.8,0.898,1.2,1.078,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_MT_092,MET_04,Concreto Protendido,BR_MT,MT,Mato Grosso,Centro-Oeste,0.963,1600.0,1540.8,0.963,1.2,1.156,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_MS_093,MET_04,Concreto Protendido,BR_MS,MS,Mato Grosso do Sul,Centro-Oeste,0.964,1600.0,1542.4,0.964,1.2,1.157,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_MG_094,MET_04,Concreto Protendido,BR_MG,MG,Minas Gerais,Sudeste,0.982,1600.0,1571.2,0.982,1.2,1.178,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_PA_095,MET_04,Concreto Protendido,BR_PA,PA,Pará,Norte,0.841,1600.0,1345.6,0.841,1.2,1.009,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_PB_096,MET_04,Concreto Protendido,BR_PB,PB,Paraíba,Nordeste,0.877,1600.0,1403.2,0.877,1.2,1.052,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_PR_097,MET_04,Concreto Protendido,BR_PR,PR,Paraná,Sul,1.02,1600.0,1632.0,1.02,1.2,1.224,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_PE_098,MET_04,Concreto Protendido,BR_PE,PE,Pernambuco,Nordeste,0.888,1600.0,1420.8,0.888,1.2,1.066,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_PI_099,MET_04,Concreto Protendido,BR_PI,PI,Piauí,Nordeste,0.872,1600.0,1395.2,0.872,1.2,1.046,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_RJ_100,MET_04,Concreto Protendido,BR_RJ,RJ,Rio de Janeiro,Sudeste,0.965,1600.0,1544.0,0.965,1.2,1.158,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_RN_101,MET_04,Concreto Protendido,BR_RN,RN,Rio Grande do Norte,Nordeste,0.888,1600.0,1420.8,0.888,1.2,1.066,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_RS_102,MET_04,Concreto Protendido,BR_RS,RS,Rio Grande do Sul,Sul,1.05,1600.0,1680.0,1.05,1.2,1.26,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_RO_103,MET_04,Concreto Protendido,BR_RO,RO,Rondônia,Norte,0.865,1600.0,1384.0,0.865,1.2,1.038,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_RR_104,MET_04,Concreto Protendido,BR_RR,RR,Roraima,Norte,0.82,1600.0,1312.0,0.82,1.2,0.984,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_SC_105,MET_04,Concreto Protendido,BR_SC,SC,Santa Catarina,Sul,1.045,1600.0,1672.0,1.045,1.2,1.254,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_SP_106,MET_04,Concreto Protendido,BR_SP,SP,São Paulo,Sudeste,1.0,1600.0,1600.0,1.0,1.2,1.2,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_SE_107,MET_04,Concreto Protendido,BR_SE,SE,Sergipe,Nordeste,0.88,1600.0,1408.0,0.88,1.2,1.056,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_04_TO_108,MET_04,Concreto Protendido,BR_TO,TO,Tocantins,Norte,0.86,1600.0,1376.0,0.86,1.2,1.032,0.55,0.3,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_05_AC_109,MET_05,Steel Frame,BR_AC,AC,Acre,Norte,0.829,1350.0,1119.15,0.829,0.8,0.663,0.6,0.25,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_05_AL_110,MET_05,Steel Frame,BR_AL,AL,Alagoas,Nordeste,0.905,1350.0,1221.75,0.905,0.8,0.724,0.6,0.25,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_05_AP_111,MET_05,Steel Frame,BR_AP,AP,Amapá,Norte,0.859,1350.0,1159.65,0.859,0.8,0.687,0.6,0.25,0.15,CBIC/SINAPI,VALIDADO,Expansão regional implementada,2025-11-14
MET_05_AM_112,MET_05,Steel Frame,BR_AM,AM,Amazonas,Norte,0.842,1350.0,1136.7,0.842,0.8,0.674,0.6,0.25,0.15,CBIC/SINAPI,ESTIMADO,Expansão regional implementada,2025-11-14
MET_05_BA_113,MET_05,Steel Frame,BR_BA,BA,Bahia,Nordeste,0.896,1350.0,1209.6,0.896,0.8,0.717,0.6,0.25,0.15,CBIC/SINAPI,PARCIALMENTE_VALIDADO,Expansão regional implementada,2025-11-14
